number,customer,description,price,country,url_addr,deadline
2019-718676,"ОАО ""АГРОКОМБИНАТ ""ДЗЕРЖИНСКИЙ""",услуги по перевозке зерна урожая 2019 года,3 663 000,BLR,http://www.icetrade.by/tenders/all/view/718676,2019-06-27
2019-718667,Управление образования Ошмянского районного исполнительного комитета,"Текущий ремонт по замене деревянных оконных блоков на окна из ПВХ в учреждении образования ""Средняя школа №2 г.Ошмяны""",110 400,BLR,http://www.icetrade.by/tenders/all/view/718667,2019-07-08
2019-718666,"ООО ""ХАЛЕКС""",Строительно-монтажные работы по благоустройству территории,0,BLR,http://www.icetrade.by/tenders/all/view/718666,2019-06-28
2019-718663,Щучинское РУП ЖКХ,выполнение строительно-монтажных работ,518 874,BLR,http://www.icetrade.by/tenders/all/view/718663,2019-07-08
2019-718662,"Баскетбольный клуб ""Минск-2006""",Закупка услуг по предоставлению рекламных светодиодных конструкций в количестве 5 шт. при проведении международных баскетбольных матчей,0,BLR,http://www.icetrade.by/tenders/all/view/718662,2019-06-27
2019-718659,3-я городская детская клиническая больница,расходный материал для отделения анестезиологии и реанимации,2 800,BLR,http://www.icetrade.by/tenders/all/view/718659,2019-06-26
2019-718658,"КУП ""Тендерный центр Мингорисполкома""","Выбор подрядчика на выполнение строительно-монтажных работ на объекте строительства «Капитальный ремонт жилого дома  6 по  ул. Д. Марцинкевича в г. Минске» в интересах коммунального унитарного предприятия «Жилищное коммунальное хозяйство № 1 Фрунзенского района г. Минска»,КС318-06/191",1 614 297,BLR,http://www.icetrade.by/tenders/all/view/718658,2019-07-08
2019-718654,"ГУ ""Республиканский санаторий ""Белая Вежа""","Текущий ремонт зданий санатория ""Белая Вежа""",159 065.75,BLR,http://www.icetrade.by/tenders/all/view/718654,2019-07-05
2019-718650,"ОАО ""Клецкий мехзавод""",Закупка комплектации,0,BLR,http://www.icetrade.by/tenders/all/view/718650,2019-06-26
2019-718649,"Отдел образования, спорта и туризма администрации Центрального района г. Гомеля","Закупка услуг подрядной организации на разработку проектно-сметной документации по объектам:
 -  «Замена наружного освещения энергоэффективными светильниками в ГУО «Я/с № 18 г. Гомеля» (долевое участие республиканского бюджета – Энергомарафон – 2018);",23 000,BLR,http://www.icetrade.by/tenders/all/view/718649,2019-06-30
